Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Collective Author 1,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation,Author 34 First Name,Author 34 Last Name,Author 34 Affiliation
robust mixed electron-photon radiation therapy optimization,https://pubmed.ncbi.nlm.nih.gov/30628079/,14,02,2019,Medical physics,46,3,2473-4209,Marc-André,Renaud,"Department of Physics & Medical Physics Unit, McGill University, Montreal, Canada.",Monica,Serban,"Medical Physics Unit, McGill University Health Centre, Montreal, Canada.",Jan,Seuntjens,"Medical Physics Unit, McGill University and Research Institute of the McGill University Health Centre, Montreal, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analysis and optimization of the robot setup for robotic-ultrasound-guided radiation therapy,https://pubmed.ncbi.nlm.nih.gov/31172439/,06,06,2019,International journal of computer assisted radiology and surgery,14,8,1861-6429,Matthias,Schlüter,"Institute of Medical Technology, Hamburg University of Technology, Hamburg, Germany. matthias.schlueter@tuhh.de.",Stefan,Gerlach,"Institute of Medical Technology, Hamburg University of Technology, Hamburg, Germany.",Christoph,Fürweger,"Europäisches Cyberknife Zentrum München-Großhadern, Munich, Germany.",Alexander,Schlaefer,"Institute of Medical Technology, Hamburg University of Technology, Hamburg, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composite minimax robust optimization of vmat improves target coverage and reduces non-target dose in head and neck cancer patients,https://pubmed.ncbi.nlm.nih.gov/31015132/,11,04,2019,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,136,,1879-0887,Dirk,Wagenaar,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands. Electronic address: ir.d.wagenaar@gmail.com.",Roel G J,Kierkels,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands.",Jeffrey,Free,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands.",Johannes A,Langendijk,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands.",Stefan,Both,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands.",Erik W,Korevaar,"Department of Radiation Oncology, University Medical Center Groningen, University of Groningen, the Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a mixed-integer linear programming optimization model framework for capturing expert planning style in low dose rate prostate brachytherapy,https://pubmed.ncbi.nlm.nih.gov/30769333/,27,03,2019,Physics in medicine and biology,64,7,1361-6560,Mustafa Ege,Babadagli,"Department of Mechanical Engineering, 10-237 Donadeo Innovation Centre for Engineering, University of Alberta, Edmonton, AB T6G 1H9, Canada.",Ron,Sloboda,,John,Doucette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volumetric modulated arc therapy with robust optimization for larynx cancer,https://pubmed.ncbi.nlm.nih.gov/30824150/,25,01,2019,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),58,,1724-191X,Hideharu,Miura,"Hiroshima High-Precision Radiotherapy Cancer Center, Hiroshima, Japan; Department of Radiation Oncology, Institute of Biomedical & Health Science, Hiroshima University, Hiroshima, Japan. Electronic address: miura@hiprac.jp.",Yoshiko,Doi,"Hiroshima High-Precision Radiotherapy Cancer Center, Hiroshima, Japan; Department of Radiation Oncology, Institute of Biomedical & Health Science, Hiroshima University, Hiroshima, Japan.",Shuichi,Ozawa,"Hiroshima High-Precision Radiotherapy Cancer Center, Hiroshima, Japan; Department of Radiation Oncology, Institute of Biomedical & Health Science, Hiroshima University, Hiroshima, Japan.",Minoru,Nakao,"Hiroshima High-Precision Radiotherapy Cancer Center, Hiroshima, Japan; Department of Radiation Oncology, Institute of Biomedical & Health Science, Hiroshima University, Hiroshima, Japan.",Keiichi,Ohnishi,"Hiroshima High-Precision Radiotherapy Cancer Center, Hiroshima, Japan.",Masahiko,Kenjo,"Hiroshima High-Precision Radiotherapy Cancer Center, Hiroshima, Japan; Department of Radiation Oncology, Institute of Biomedical & Health Science, Hiroshima University, Hiroshima, Japan.",Yasushi,Nagata,"Hiroshima High-Precision Radiotherapy Cancer Center, Hiroshima, Japan; Department of Radiation Oncology, Institute of Biomedical & Health Science, Hiroshima University, Hiroshima, Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimal combined proton-photon therapy schemes based on the standard bed model,https://pubmed.ncbi.nlm.nih.gov/30641502/,12,03,2019,Physics in medicine and biology,64,6,1361-6560,S C M,Ten Eikelder,"Department of Econometrics and Operations Research, Tilburg University, Tilburg, The Netherlands. Author to whom any correspondence should be addressed.",D,den Hertog,,T,Bortfeld,,Z,Perkó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robust optimization to reduce the impact of biological effect variation from physical uncertainties in intensity-modulated proton therapy,https://pubmed.ncbi.nlm.nih.gov/30523932/,08,01,2019,Physics in medicine and biology,64,2,1361-6560,Xuemin,Bai,"Department of Industrial Engineering, University of Houston, Houston, TX, United States of America.",Gino,Lim,,David,Grosshans,,Radhe,Mohan,,Wenhua,Cao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technical note: treatment planning system (tps) approximations matter - comparing intensity-modulated proton therapy (impt) plan quality and robustness between a commercial and an in-house developed tps for nonsmall cell lung cancer (nsclc),https://pubmed.ncbi.nlm.nih.gov/31498885/,21,09,2019,Medical physics,46,11,2473-4209,Chenbin,Liu,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Nathan Y,Yu,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Jie,Shan,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Ronik S,Bhangoo,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Thomas B,Daniels,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Jennifer S,Chiang,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Xiaoning,Ding,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Pedro,Lara,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Christopher L,Patrick,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",James P,Archuleta,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Todd,DeWees,"Division of Biostatistics, Mayo Clinic, Phoenix, AZ, 85054, USA.",Yanle,Hu,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Steven E,Schild,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Martin,Bues,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Terence T,Sio,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",Wei,Liu,"Department of Radiation Oncology, Mayo Clinic, Phoenix, AZ, 85054, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dosis: an integrated computational tool for patient-specific dosimetry in nuclear medicine by monte carlo and dose point kernel approaches,https://pubmed.ncbi.nlm.nih.gov/31146217/,24,05,2019,"Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine",150,,1872-9800,Pedro,Pérez,"Instituto de Física Enrique Gaviola, CONICET, Córdoba, 5000, Argentina; FAMAF, Universidad Nacional de Córdoba, Córdoba, 5000, Argentina. Electronic address: pedro.perez@unc.edu.ar.",Mauro,Valente,"Instituto de Física Enrique Gaviola, CONICET, Córdoba, 5000, Argentina; FAMAF, Universidad Nacional de Córdoba, Córdoba, 5000, Argentina; Centro de Física e Ingeniería en Medicina CFIM, Departamento de Ciencias Físicas, Universidad de La Frontera, Temuco, 4780000, Chile. Electronic address: valente@famaf.unc.edu.ar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inter-planner variation in treatment-plan quality of plans created with a knowledge-based treatment planning system,https://pubmed.ncbi.nlm.nih.gov/31706149/,06,11,2019,Physica medica : PM : an international journal devoted to the applications of physics to medicine and biology : official journal of the Italian Association of Biomedical Physics (AIFB),67,,1724-191X,Kazuki,Kubo,"Department of Radiation Oncology, Tane General Hospital, 1-12-21 Kujo-minami, Nishi, Osaka 550-0025, Japan.",Hajime,Monzen,"Department of Medical Physics, Graduate School of Medical Sciences, Kindai University, 377-2 Ohno-higashi, Osaka-sayama, Osaka 589-8511, Japan. Electronic address: hmon@med.kindai.ac.jp.",Kentaro,Ishii,"Department of Radiation Oncology, Tane General Hospital, 1-12-21 Kujo-minami, Nishi, Osaka 550-0025, Japan.",Mikoto,Tamura,"Department of Medical Physics, Graduate School of Medical Sciences, Kindai University, 377-2 Ohno-higashi, Osaka-sayama, Osaka 589-8511, Japan.",Yuta,Nakasaka,"Department of Radiation Oncology, Tane General Hospital, 1-12-21 Kujo-minami, Nishi, Osaka 550-0025, Japan.",Masayuki,Kusawake,"Department of Radiation Oncology, Tane General Hospital, 1-12-21 Kujo-minami, Nishi, Osaka 550-0025, Japan.",Shun,Kishimoto,"Department of Radiation Oncology, Tane General Hospital, 1-12-21 Kujo-minami, Nishi, Osaka 550-0025, Japan.",Ryuta,Nakahara,"Department of Radiation Oncology, Tane General Hospital, 1-12-21 Kujo-minami, Nishi, Osaka 550-0025, Japan.",Shogo,Matsuda,"Department of Radiation Oncology, Tane General Hospital, 1-12-21 Kujo-minami, Nishi, Osaka 550-0025, Japan.",Toshifumi,Nakajima,"Department of Radiation Oncology, Tane General Hospital, 1-12-21 Kujo-minami, Nishi, Osaka 550-0025, Japan.",Ryu,Kawamorita,"Department of Radiation Oncology, Tane General Hospital, 1-12-21 Kujo-minami, Nishi, Osaka 550-0025, Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
