Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Collective Author 1,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation,Author 34 First Name,Author 34 Last Name,Author 34 Affiliation
using total-variation regularization for intensity modulated radiation therapy inverse planning with field-specific numbers of segments,https://pubmed.ncbi.nlm.nih.gov/18997262/,07,11,2008,Physics in medicine and biology,53,23,0031-9155,Lei,Zhu,"Department of Radiation Oncology, Stanford University, Stanford, CA 94305, USA. leizhu@stanford.edu",Louis,Lee,,Yunzhi,Ma,,Yinyu,Ye,,Rafe,Mazzeo,,Lei,Xing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
investigation of intensity-modulated radiotherapy optimization with geud-based objectives by means of simulated annealing,https://pubmed.ncbi.nlm.nih.gov/18561680/,XX,05,2008,Medical physics,35,5,0094-2405,Matthias,Hartmann,"Department of Radiation Oncology, University Hospital Regensburg, Franz-Josef-Strauss-Allee 11, D-93042 Regensburg 93042, Germany. matthias.hartmann@psi.ch",Ludwig,Bogner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on-line re-optimization of prostate imrt plans for adaptive radiation therapy,https://pubmed.ncbi.nlm.nih.gov/18199909/,10,01,2008,Physics in medicine and biology,53,3,0031-9155,Q Jackie,Wu,"Department of Radiation Oncology, Duke University Medical Center Durham, NC, USA. Jackie.Wu@duke.edu",Danthai,Thongphiew,,Zhiheng,Wang,,Boonyanit,Mathayomchan,,Vira,Chankong,,Sua,Yoo,,W Robert,Lee,,Fang-Fang,Yin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adaptive fractionation therapy: i. basic concept and strategy,https://pubmed.ncbi.nlm.nih.gov/18780961/,09,09,2008,Physics in medicine and biology,53,19,0031-9155,Weiguo,Lu,"TomoTherapy Inc, 1240 Deming Way, Madison, WI 53717, USA. wlu@tomotherapy.com",Mingli,Chen,,Quan,Chen,,Kenneth,Ruchala,,Gustavo,Olivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stepwise multi-criteria optimization for robotic radiosurgery,https://pubmed.ncbi.nlm.nih.gov/18561685/,XX,05,2008,Medical physics,35,5,0094-2405,A,Schlaefer,"Department of Radiation Oncology, Stanford University, Stanford, California 94305-5847, USA. schlaefer@standard.edu",A,Schweikard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
an optimization model and solution for radiation shielding design of radiotherapy treatment vaults,https://pubmed.ncbi.nlm.nih.gov/18293573/,XX,01,2008,Medical physics,35,1,0094-2405,Francis,Newman,"Department of Radiation Oncology, University of Colorado at Denver and Health Sciences Center, Aurora, Colorado 80045, USA.",Masoud,Asadi-Zeydabadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on linear infeasibility arising in intensity-modulated radiation therapy inverse planning,https://pubmed.ncbi.nlm.nih.gov/19562040/,01,03,2008,Linear algebra and its applications,428,5-6,0024-3795,Yair,Censor,"Department of Mathematics, University of Haifa, Mt. Carmel, Haifa 31905, Israel. ( yair@math.haifa.ac.il ).",Adi,Ben-Israel,,Ying,Xiao,,James M,Galvin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application of the equivalent uniform stochastic dose (eusd) to tcp calculations incorporating dose uncertainty and fractionation effects,https://pubmed.ncbi.nlm.nih.gov/18488958/,XX,03,2008,Australasian physical & engineering sciences in medicine,31,1,0158-9938,Sergei,Zavgorodni,"Department of Medical Physics, British Columbia Cancer Agency, Vancouver Island Centre, Victoria, BC, Canada. szavgorodni@bccancer.bc.ca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adaptive fractionation therapy: ii. biological effective dose,https://pubmed.ncbi.nlm.nih.gov/18780956/,09,09,2008,Physics in medicine and biology,53,19,0031-9155,Mingli,Chen,"TomoTherapy Inc, 1240 Deming Way, Madison, WI 53717, USA.",Weiguo,Lu,,Quan,Chen,,Kenneth,Ruchala,,Gustavo,Olivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
controlling the dose distribution with geud-type constraints within the convex radiotherapy optimization framework,https://pubmed.ncbi.nlm.nih.gov/18506069/,27,05,2008,Physics in medicine and biology,53,12,0031-9155,Y,Zinchenko,"Advanced Optimization Laboratory, Department of Computing and Software, McMaster University, Hamilton L8S 4K1, Canada. zinchen@mcmaster.ca",T,Craig,,H,Keller,,T,Terlaky,,M,Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
