Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Collective Author 1,Collective Author 2,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation
mri to ct prostate registration for improved targeting in cancer external beam radiotherapy,https://pubmed.ncbi.nlm.nih.gov/27333613/,16,06,2016,IEEE journal of biomedical and health informatics,21,4,2168-2208,Frederic,Commandeur,,Antoine,Simon,Romain,Mathieu,Mohamed,Nassef,Juan David Ospina,Arango,Yan,Rolland,Pascal,Haigron,Renaud,de Crevoisier,,,,Oscar,Acosta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decision analysis model evaluating the cost of a temporary hydrogel rectal spacer before prostate radiation therapy to reduce the incidence of rectal complications,https://pubmed.ncbi.nlm.nih.gov/27038698/,30,03,2016,Urologic oncology,34,7,1873-2496,Ryan C,Hutchinson,"Departments of Urology, The University of Texas Southwestern Medical Center, Dallas, TX.",Varun,Sundaram,Michael,Folkert,Yair,Lotan,,,,,,,,,"Departments of Urology, The University of Texas Southwestern Medical Center, Dallas, TX.","Departments of Radiation Oncology, The University of Texas Southwestern Medical Center, Dallas, TX.","Departments of Urology, The University of Texas Southwestern Medical Center, Dallas, TX. Electronic address: Yair.Lotan@utsouthwestern.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness analysis of intensity-modulated radiation therapy with normal and hypofractionated schemes for the treatment of localised prostate cancer,https://pubmed.ncbi.nlm.nih.gov/26782759/,19,01,2016,European journal of cancer care,27,1,1365-2354,A T,Zemplényi,"Institute for Health Insurance, University of Pécs, Mária u. 5-7., Pécs, Hungary.",Z,Kaló,G,Kovács,R,Farkas,T,Beöthe,D,Bányai,Z,Sebestyén,D,Endrei,"Department of Health Policy and Economics, Eötvös Loránd University, Pázmány Péter sétány 1/a., Budapest, Hungary.","Syreon Research Center, Thököly út 119., Budapest, Hungary.","Medical Center of the University of Pécs, Oncology Center, Édesanyák útja 17., Pécs, Hungary.",I,Boncz,L,Mangel,,,,,,,,,,,"Medical Center of the University of Pécs, Urology Clinic, Munkácsy M. u. 2., Pécs, Hungary.","Urology Clinic, Medical Center of the University of Pécs, Munkácsy M. u. 2., Pécs, Hungary.","Medical Center of the University of Pécs, Oncology Center, Édesanyák útja 17., Pécs, Hungary.","Institute for Health Insurance, University of Pécs, Mária u. 5-7., Pécs, Hungary.","Institute for Health Insurance, University of Pécs, Mária u. 5-7., Pécs, Hungary.","Medical Center of the University of Pécs, Oncology Center, Édesanyák útja 17., Pécs, Hungary.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategic level proton therapy patient admission planning: a markov decision process modeling approach,https://pubmed.ncbi.nlm.nih.gov/26810359/,25,01,2016,Health care management science,20,2,1386-9620,Ridvan,Gedik,"Mechanical and Industrial Engineering Department Tagliatela College of Engineering, University of New Haven, West Haven, CT, USA.",Shengfan,Zhang,Chase,Rainwater,,,,,,,,,,,"Department of Industrial Engineering, University of Arkansas, Fayetteville, AR, USA. shengfan@uark.edu.","Department of Industrial Engineering, University of Arkansas, Fayetteville, AR, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carcinomatous meningitis: the radiation therapist's point of view,https://pubmed.ncbi.nlm.nih.gov/26867467/,08,02,2016,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,20,1,1769-6658,S,Espenel,"Département de radiothérapie, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.",A,Vallard,J,Langrand-Escure,M,Ben Mrad,B,Méry,R,Rivoirard,G,Moriceau,J-B,Guy,"Département de radiothérapie, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département de radiothérapie, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département de radiothérapie, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.",J-C,Trone,C,Moncharmont,G,Wang,P,Diao,É,Bernichon,É,Chanal,,,"Département d'oncologie médicale, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département d'oncologie médicale, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département d'oncologie médicale, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département de radiothérapie, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département de radiothérapie, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département de radiothérapie, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département de radiothérapie, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département de radiothérapie, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département d'oncologie médicale, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département de radiothérapie, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.",P,Fournel,N,Magné,,,,,,,,,,,,,"Département d'oncologie médicale, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France.","Département de radiothérapie, institut de cancérologie Lucien-Neuwirth, 108 bis, avenue Albert-Raimond, BP 60008, 42271 Saint-Priest-en-Jarez cedex, France. Electronic address: nicolas.magne@icloire.fr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
who will benefit most from hydrogel rectum spacer implantation in prostate cancer radiotherapy? a model-based approach for patient selection,https://pubmed.ncbi.nlm.nih.gov/27647458/,16,09,2016,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,121,1,1879-0887,Ben G L,Vanneste,"Department of Radiation Oncology (MAASTRO Clinic), Maastricht University Medical Center, The Netherlands. Electronic address: ben.vanneste@maastro.nl.",Aswin L,Hoffmann,Emile N,van Lin,Lien,Van De Voorde,Michael,Pinkawa,Philippe,Lambin,,,,,"Department of Radiation Oncology (MAASTRO Clinic), Maastricht University Medical Center, The Netherlands; Institute of Radiooncology, Helmholtz-Zentrum Dresden-Rossendorf, Germany; Department of Radiotherapy and Radiooncology, University Hospital Carl Gustav Carus at the Technische Universität Dresden, Germany.","Department of Radiation Oncology (MAASTRO Clinic), Maastricht University Medical Center, The Netherlands.","Department of Radiation Oncology (MAASTRO Clinic), Maastricht University Medical Center, The Netherlands.",,,,,,,,,,,,,,,"Department of Radiation Oncology, University Hospital RWTH Aachen, Germany.","Department of Radiation Oncology (MAASTRO Clinic), Maastricht University Medical Center, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a validated tumor control probability model based on a meta-analysis of low, intermediate, and high-risk prostate cancer patients treated by photon, proton, or carbon-ion radiotherapy",https://pubmed.ncbi.nlm.nih.gov/26843237/,XX,02,2016,Medical physics,43,2,2473-4209,Seán,Walsh,"Department of Radiation Oncology (MAASTRO), GROW-School for Oncology and Developmental Biology, Maastricht University Medical Center (MUMC+), Maastricht 6229 ET, The Netherlands and Department of Oncology, Gray Institute for Radiation Oncology and Biology, University of Oxford, Oxford OX3 7DQ, United Kingdom.",Erik,Roelofs,Peter,Kuess,Philippe,Lambin,Bleddyn,Jones,Dietmar,Georg,Frank,Verhaegen,,,"Department of Radiation Oncology (MAASTRO), GROW-School for Oncology and Developmental Biology, Maastricht University Medical Center (MUMC+), Maastricht 6229 ET, The Netherlands.","Department of Radiation Oncology and Christian Doppler Laboratory for Medical Radiation Research for Radiation Oncology, Medical University of Vienna, Vienna 1090, Austria.","Department of Radiation Oncology (MAASTRO), GROW-School for Oncology and Developmental Biology, Maastricht University Medical Center (MUMC+), Maastricht 6229 ET, The Netherlands.",,,,,,,,,,,,,,,"Department of Oncology, Gray Institute for Radiation Oncology and Biology, University of Oxford, Oxford OX3 7DQ, United Kingdom.","Department of Radiation Oncology and Christian Doppler Laboratory for Medical Radiation Research for Radiation Oncology, Medical University of Vienna, Vienna 1090, Austria.","Department of Radiation Oncology (MAASTRO), GROW-School for Oncology and Developmental Biology, Maastricht University Medical Center (MUMC+), Maastricht 6229 ET, The Netherlands and Medical Physics Unit, Department of Oncology, McGill University, Montréal, Québec H4A 3J1, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of gemcitabine plus modern radiotherapy in locally advanced pancreatic cancer,https://pubmed.ncbi.nlm.nih.gov/27033672/,28,03,2016,Clinical therapeutics,38,5,1879-114X,Henry W C,Leung,"Department of Radiation Therapy, An Nan Hospital, China Medical University, Tainan, Taiwan; Department of Information Management, Chia Nan University of Pharmacy and Science, Tainan City, Taiwan.",Agnes L F,Chan,Chih-Hsin,Muo,,,,,,,,,,,"Department of Pharmacy, An-Nan Hospital, China Medical University, Tainan, Taiwan; Department of Pharmacy, Chia Nan University of Pharmacy and Science, Tainan City, Taiwan. Electronic address: agnes.lf@gmail.com.","Management Office for Health Data, China Medical University Hospital, Taichung, Taiwan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the impact of radiation oncologists on the early adoption of hypofractionated radiation therapy for early-stage breast cancer,https://pubmed.ncbi.nlm.nih.gov/28126306/,15,11,2016,"International journal of radiation oncology, biology, physics",97,3,1879-355X,Isabel J,Boero,"Department of Radiation Medicine and Applied Sciences, University of California, San Diego, La Jolla, California.",Erin F,Gillespie,Jiayi,Hou,Anthony J,Paravati,Ellen,Kim,John P,Einck,Catheryn,Yashar,Loren K,Mell,"Department of Radiation Medicine and Applied Sciences, University of California, San Diego, La Jolla, California.","Department of Radiation Medicine and Applied Sciences, University of California, San Diego, La Jolla, California.","Department of Radiation Medicine and Applied Sciences, University of California, San Diego, La Jolla, California.",James D,Murphy,,,,,,,,,,,,,"Department of Radiation Medicine and Applied Sciences, University of California, San Diego, La Jolla, California.","Department of Radiation Medicine and Applied Sciences, University of California, San Diego, La Jolla, California.","Department of Radiation Medicine and Applied Sciences, University of California, San Diego, La Jolla, California.","Department of Radiation Medicine and Applied Sciences, University of California, San Diego, La Jolla, California.","Department of Radiation Medicine and Applied Sciences, University of California, San Diego, La Jolla, California. Electronic address: j2murphy@ucsd.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operations research for resource planning and -use in radiotherapy: a literature review,https://pubmed.ncbi.nlm.nih.gov/27884182/,25,11,2016,BMC medical informatics and decision making,16,1,1472-6947,Bruno,Vieira,"Department of Radiation Oncology, Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital, Amsterdam, The Netherlands. b.vieira@nki.nl.",Erwin W,Hans,Corine,van Vliet-Vroegindeweij,Jeroen,van de Kamer,Wim,van Harten,,,,,,,"Center for Healthcare Operations Improvement and Research (CHOIR), University of Twente, Enschede, The Netherlands.","Department of Radiation Oncology, Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital, Amsterdam, The Netherlands.","Department of Radiation Oncology, Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital, Amsterdam, The Netherlands.",,,,,,,,,,,,,,,"Department of Radiation Oncology, Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital, Amsterdam, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
