Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Collective Author 1,Collective Author 2,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation
"guidelines for clinical practice: standards, options and recommendations 2005 for the management of adult patients exhibiting an m0 cutaneous melanoma, full report. national federation of cancer campaign centers. french dermatology society. update of the 1995 consensus conference and the 1998 standards, options, and recommendations",https://pubmed.ncbi.nlm.nih.gov/16521904/,XX,12,2005,Annales de dermatologie et de venereologie,132,12 Pt 2,0151-9638,S,Négrier,"Centre Léon-Bérard, Lyon.",P,Saiag,B,Guillot,O,Verola,M F,Avril,C,Bailly,D,Cupissol,S,Dalac,,,,A,Danino,B,Dreno,J J,Grob,M T,Leccia,C,Renaud-Vilmer,L,Bosquet,National Federation of Cancer Campaign Centers,French Dermatology Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exact two-sample inference with missing data,https://pubmed.ncbi.nlm.nih.gov/16011700/,XX,06,2005,Biometrics,61,2,0006-341X,Ying Kuen,Cheung,"Department of Biostatistics, Mailman School of Public Health, Columbia University, New York, New York 10032, USA. cheung@biostat.columbia.edu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recurrent rectal cancer: diagnosis by contrast enhancement in md-ct,https://pubmed.ncbi.nlm.nih.gov/15627217/,XX,11,2005,Der Radiologe,45,11,0033-832X,C A,Stückle,"Klinik für Radiologische Diagnostik und Nuklearmedizin, Marienhospital Herne, Universitätsklinik der Ruhr-Universität, Bochum. Christoph.Stueckle@Ruhr-Uni-Bochum.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of proton radiation in the treatment of childhood medulloblastoma,https://pubmed.ncbi.nlm.nih.gov/15637691/,15,02,2005,Cancer,103,4,0008-543X,Jonas,Lundkvist,"Medical Management Center, Karolinska Institutet, Stockholm, Sweden. jonas.l@healtheconomics.se",Mattias,Ekman,Suzanne Rehn,Ericsson,Bengt,Jönsson,Bengt,Glimelius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimal management of the t1g3 bladder cancer,https://pubmed.ncbi.nlm.nih.gov/15862611/,XX,05,2005,The Urologic clinics of North America,32,2,0094-0143,Murugesan,Manoharan,"Department of Urology, University of Miami School of Medicine, 1400 NW 10th Avenue, # 506, Miami, FL 33136, USA.",Mark S,Soloway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the economic impact of 18fdg positron emission tomography in the surgical management of colorectal cancer with hepatic metastases,https://pubmed.ncbi.nlm.nih.gov/16114993/,XX,08,2005,Cancer biotherapy & radiopharmaceuticals,20,4,1084-9785,Jose M,Zubeldia,"School of Medicine and Biomedical Sciences, Department of Nuclear Medicine, University at Buffalo, State University of New York, Buffalo, New York 14214-3007, USA.",Edward M,Bednarczyk,John G,Baker,Hani A,Nabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strategy of evidence based medicine for radiotherapy,https://pubmed.ncbi.nlm.nih.gov/16270016/,20,10,2005,Nihon Hoshasen Gijutsu Gakkai zasshi,61,10,0369-4305,Shinji,Kawamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
management of hepatocellular cancer,https://pubmed.ncbi.nlm.nih.gov/16107245/,XX,09,2005,Current treatment options in oncology,6,5,1527-2729,Mary F,Mulcahy,"Department of Medicine, Division of Hematology/Oncology, Feinberg School of Medicine, Northwestern University, Robert H. Lurie Comprehensive Cancer Center, Chicago, IL 60611, USA. m-mulcahy@northwestern.edu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment decision-making strategies and influences in patients with localized prostate carcinoma,https://pubmed.ncbi.nlm.nih.gov/16080181/,01,10,2005,Cancer,104,7,0008-543X,Clement K,Gwede,"Health Outcomes and Behavior Program, H. Lee Moffitt Cancer Center and Research Institute, University of South Florida, Tampa, Florida 33612, USA. gwede@moffitt.usf.edu",Julio,Pow-Sang,John,Seigne,Randy,Heysek,Mohamed,Helal,Kristin,Shade,Alan,Cantor,Paul B,Jacobsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of radiation therapy following conservative surgery for ductal carcinoma in situ of the breast,https://pubmed.ncbi.nlm.nih.gov/15752884/,15,03,2005,"International journal of radiation oncology, biology, physics",61,4,0360-3016,W Warren,Suh,"Department of Radiation Oncology, University of Michigan Health System, Ann Arbor, MI, USA. wsuh@lroc.harvard.edu",Bruce E,Hillner,Lori J,Pierce,James A,Hayman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
