Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 2 First Name,Author 2 Last Name,Author 1 Affiliation,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Collective Author 1,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation,Collective Author 2,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name
making a case for high-volume robotic surgery centers: a cost-effectiveness analysis of transoral robotic surgery,https://pubmed.ncbi.nlm.nih.gov/26171771/,14,07,2015,Journal of surgical oncology,112,2,1096-9098,Luke,Rudmik,Wenyi,An,"Division of Otolaryngology-Head and Neck Surgery, Department of Surgery, University of Calgary, Calgary, Alberta, Canada.",Devon,Livingstone,Wayne,Matthews,Hadi,Seikaly,Rufus,Scrimger,Deborah,Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Community Health Sciences, University of Calgary, Calgary, Alberta, Canada.","Division of Otolaryngology-Head and Neck Surgery, Department of Surgery, University of Calgary, Calgary, Alberta, Canada.","Division of Otolaryngology-Head and Neck Surgery, Department of Surgery, University of Calgary, Calgary, Alberta, Canada.","D ivision of Otolaryngology-Head and Neck Surgery, Department of Surgery; University of Alberta, Edmonton, Alberta, Canada.","Division of Radiation Oncology, Department of Oncology, University of Alberta, Edmonton, Alberta, Canada.","Canada Research Chair, Health Services and Systems Research; Department of Community Health Sciences, University of Calgary, Calgary, Alberta, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
how to address small- and medium-sized acoustic neuromas with hearing: a systematic review and decision analysis,https://pubmed.ncbi.nlm.nih.gov/25790873/,17,03,2015,World neurosurgery,84,2,1878-8769,Weiming,Liu,Ming,Ni,"Department of Neurosurgery, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.",Wang,Jia,Dabiao,Zhou,Qing,Zhang,Yong,Jiang,Guijun,Jia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Neurosurgery, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.","Department of Neurosurgery, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.","Department of Neurosurgery, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.","Department of Neurosurgery, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.","Department of Neurology, Beijing Tiantan Hospital, Capital Medical University, Beijing, China.","Department of Neurosurgery, Beijing Tiantan Hospital, Capital Medical University, Beijing, China. Electronic address: jiaguijun@cssc.net.cn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using nonrandomized studies to inform complex clinical decisions: the thorny issue of cranial radiation therapy for t-cell acute lymphoblastic leukemia,https://pubmed.ncbi.nlm.nih.gov/25755144/,05,03,2015,Pediatric blood & cancer,62,5,1545-5017,Michael J,Kelly,Stephen G,Pauker,"Division of Pediatric Hematology/Oncology, The Floating Hospital for Children at Tufts Medical Center, Boston, Massachusetts; Department of Pediatrics, Tufts University School of Medicine, Boston, Massachusetts.",Susan K,Parsons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surveillance after prostate cancer radiotherapy: evaluation and management of toxicity and relapse,https://pubmed.ncbi.nlm.nih.gov/26278989/,13,08,2015,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,19,6-7,1769-6658,G,Dupic,C,Hennequin,"Service de cancérologie radiothérapie, centre Jean-Perrin, 58, rue Montalembert, 63000 Clermont-Ferrand, France. Electronic address: guillaume.dupic@cjp.fr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Service de cancérologie radiothérapie, hôpital Saint-Louis, 1, avenue Claude-Vellefaux, 75010 Paris, France.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mucosal melanomas of the head and neck: state of the art and current controversies,https://pubmed.ncbi.nlm.nih.gov/26022288/,26,05,2015,Bulletin du cancer,102,6,1769-6917,Idriss,Troussier,Anne-Catherine,Baglin,"CHRU de Poitiers, oncologie radiothérapie, 2, rue de la Milétrie, 86000 Poitiers, France. Electronic address: idriss.troussier@me.com.",Pierre-Yves,Marcy,Caroline,Even,Antoine,Moya-Plana,Marco,Krengli,Juliette,Thariat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hôpital Lariboisière, department of pathology, 2, rue Ambroise-Paré, 75475 Paris cedex 10, France.","Centre Lacassagne, department of radiology, 33, avenue de la Lanterne, 06189 Nice, France.","Institut Gustave-Roussy, department of medical oncology, rue Camille-Desmoulins, 94000 Villejuif, France.","Institut Gustave-Roussy, department of head and neck surgery, rue Camille-Desmoulins, 94000 Villejuif, France.","University Hospital ""Maggiore della Carità"", division of radiotherapy, via Solaroli, 17, 28100 Novara, Italie.","Centre Lacassagne, département de radiothérapie, 227, avenue de la Lanterne, 06200 Nice, France.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prophylactic axillary radiotherapy for breast cancer,https://pubmed.ncbi.nlm.nih.gov/26044178/,01,06,2015,Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,19,4,1769-6658,S,Rivera,G,Louvel,"Département d'oncologie radiothérapie, institut Gustave-Roussy, 114, rue Édouard-Vaillant, 94800 Villejuif, France. Electronic address: sofia.rivera@gustaveroussy.fr.",E,Rivin Del Campo,A,Boros,H,Oueslati,É,Deutsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Département d'oncologie radiothérapie, institut Gustave-Roussy, 114, rue Édouard-Vaillant, 94800 Villejuif, France.","Département d'oncologie radiothérapie, institut Gustave-Roussy, 114, rue Édouard-Vaillant, 94800 Villejuif, France.","Département d'oncologie radiothérapie, institut Gustave-Roussy, 114, rue Édouard-Vaillant, 94800 Villejuif, France.","Département d'oncologie radiothérapie, institut Gustave-Roussy, 114, rue Édouard-Vaillant, 94800 Villejuif, France.","Département d'oncologie radiothérapie, institut Gustave-Roussy, 114, rue Édouard-Vaillant, 94800 Villejuif, France.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of para-aortic lymphadenectomy before chemoradiotherapy in locally advanced cervical cancer,https://pubmed.ncbi.nlm.nih.gov/25925292/,17,04,2015,Journal of gynecologic oncology,26,3,2005-0399,Jung Yun,Lee,Younhee,Kim,"Department of Obstetrics and Gynecology, Institute of Women's Life Medical Science, Yonsei University College of Medicine, Seoul, Korea.",Tae Jin,Lee,Yong Woo,Jeon,Kidong,Kim,Hyun Hoon,Chung,Hak Jae,Kim,Sang Min,Park,Jae Weon,Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Institute of Health and Environment, Seoul National University Graduate School of Public Health, Seoul, Korea.","Department of Health Policy and Management, Seoul National University Graduate School of Public Health, Seoul, Korea.","Korean Health Promotion Foundation, Seoul, Korea.","Department of Obstetrics and Gynecology, Seoul National University Bundang Hospital, Seongnam, Korea.","Department of Obstetrics and Gynecology, Seoul National University College of Medicine, Seoul, Korea.","Department of Radiation Oncology, Seoul National University College of Medicine, Seoul, Korea. khjae@ snu.ac.kr.","Department of Family Medicine, Seoul National University College of Medicine, Seoul, Korea.","Department of Obstetrics and Gynecology, Seoul National University College of Medicine, Seoul, Korea.",,,,,,,,,,,,,,,,,,,,,,,,,,,
nomogram for predicting pathologically complete response after neoadjuvant chemoradiotherapy for oesophageal cancer,https://pubmed.ncbi.nlm.nih.gov/26116340/,23,06,2015,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,115,3,1879-0887,Eelke Lucie Anne,Toxopeus,Daan,Nieboer,"Department of Surgery, Erasmus MC, University Medical Centre Rotterdam, The Netherlands. Electronic address: e.toxopeus@erasmusmc.nl.",Joel,Shapiro,Katharina,Biermann,Ate,van der Gaast,Carolien M,van Rij,Ewout Willem,Steyerberg,Joseph Jan Baptiste,van Lanschot,Bas Peter Louis,Wijnhoven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centre for Medical Decision Making, Erasmus MC, University Medical Centre Rotterdam, The Netherlands.","Department of Surgery, Erasmus MC, University Medical Centre Rotterdam, The Netherlands.","Department of Pathology, Erasmus MC, University Medical Centre Rotterdam, The Netherlands.","Department of Medical Oncology, Erasmus MC, University Medical Centre Rotterdam, The Netherlands.","Department of Radiation Oncology, Erasmus MC, University Medical Centre Rotterdam, The Netherlands.","Centre for Medical Decision Making, Erasmus MC, University Medical Centre Rotterdam, The Netherlands.","Department of Surgery, Erasmus MC, University Medical Centre Rotterdam, The Netherlands.","Department of Surgery, Erasmus MC, University Medical Centre Rotterdam, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,
factors affecting timing of closure and non-reversal of temporary ileostomies,https://pubmed.ncbi.nlm.nih.gov/26054385/,09,06,2015,International journal of colorectal disease,30,9,1432-1262,M F,Sier,L,van Gelder,"Department of Surgery, Albert Schweitzer Hospital, Location Dordwijk, Room: W0-051, Albert Schweitzerplaats 25, 3318 AT, Dordrecht, The Netherlands, m.f.sier@asz.nl.",D T,Ubbink,W A,Bemelman,R J,Oostenbroek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cost-effectiveness analysis of chemoradiation therapy versus transoral robotic surgery for human papillomavirus-associated, clinical n2 oropharyngeal cancer",https://pubmed.ncbi.nlm.nih.gov/26867880/,10,11,2015,"International journal of radiation oncology, biology, physics",94,3,1879-355X,David J,Sher,Mary Jo,Fidler,"Department of Radiation Oncology, University of Texas Southwestern Medical Center, Dallas, Texas. Electronic address: david.sher@utsouthwestern.edu.",Roy B,Tishler,Kerstin,Stenson,Samer,al-Khudari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Section of Medical Oncology, Rush University Medical Center, Chicago, Illinois.","Department of Radiation Oncology, Brigham and Women's Hospital and Dana-Farber Cancer Institute, Boston, Massachusetts.","Department of Otolaryngology, Rush University Medical Center, Chicago, Illinois.","Department of Otolaryngology, Rush University Medical Center, Chicago, Illinois.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spacers in radiotherapy treatment of prostate cancer: is reduction of toxicity cost-effective?,https://pubmed.ncbi.nlm.nih.gov/25616537/,20,01,2015,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,114,2,1879-0887,Ben G L,Vanneste,Madelon,Pijls-Johannesma,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands. Electronic address: ben.vanneste@maastro.nl.",Lien,Van De Voorde,Emile N,van Lin,Kees,van de Beek,Judith,van Loon,Bram L,Ramaekers,Philippe,Lambin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands; Health insurance company CZ, Tilburg, The Netherlands.","Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands.","Westdeutsches Protonentherapiezentrum Essen (WPE), Germany.","Department of Urology, Maastricht University Medical Center+, The Netherlands.","Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands.","Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands; Department of Clinical Epidemiology and Medical Technology Assessment, Maastricht University Medical Center+, The Netherlands.","Department of Radiation Oncology (MAASTRO), GROW - School for Oncology and Developmental Biology, Maastricht University Medical Center+, The Netherlands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"re: byron h. lee, adam s. kibel, jay p. ciezki, et al. are biochemical recurrence outcomes similar after radical prostatectomy and radiation therapy? analysis of prostate cancer-specific mortality by nomogram-predicted risks of biochemical recurrence. eur urol 2015;67:204-9",https://pubmed.ncbi.nlm.nih.gov/25913064/,22,04,2015,European urology,68,3,1873-7560,Kevin,Lu,,,"Division of Urology, Department of Surgery, E-Da Hospital, Kaohsiung City, Taiwan, Republic of China; School of Medicine, I-Shou University, Kaohsiung City, Taiwan, Republic of China. Electronic address: kevinlu0620@mail2000.com.tw.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detection of local cancer recurrence after stereotactic ablative radiation therapy for lung cancer: physician performance versus radiomic assessment,https://pubmed.ncbi.nlm.nih.gov/26907916/,29,12,2015,"International journal of radiation oncology, biology, physics",94,5,1879-355X,Sarah A,Mattonen,David A,Palma,"Department of Medical Biophysics, The University of Western Ontario, London, Ontario, Canada; Baines Imaging Research Laboratory, London Regional Cancer Program, London, Ontario, Canada.",Carol,Johnson,Alexander V,Louie,Mark,Landis,George,Rodrigues,Ian,Chan,Roya,Etemad-Rezai,Timothy P C,Yeung,Suresh,Senan,Aaron D,Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Medical Biophysics, The University of Western Ontario, London, Ontario, Canada; Baines Imaging Research Laboratory, London Regional Cancer Program, London, Ontario, Canada; Department of Oncology, The University of Western Ontario, London, Ontario, Canada. Electronic address: david.palma@lhsc.on.ca.","Baines Imaging Research Laboratory, London Regional Cancer Program, London, Ontario, Canada.","Department of Oncology, The University of Western Ontario, London, Ontario, Canada.","Department of Diagnostic Radiology, London Health Sciences Centre, London, Ontario, Canada.","Department of Oncology, The University of Western Ontario, London, Ontario, Canada.","Department of Diagnostic Radiology, London Health Sciences Centre, London, Ontario, Canada.","Department of Diagnostic Radiology, London Health Sciences Centre, London, Ontario, Canada.","Department of Medical Biophysics, The University of Western Ontario, London, Ontario, Canada; Baines Imaging Research Laboratory, London Regional Cancer Program, London, Ontario, Canada.","Department of Radiation Oncology, VU University Medical Center, Amsterdam, The Netherlands.","Department of Medical Biophysics, The University of Western Ontario, London, Ontario, Canada; Baines Imaging Research Laboratory, London Regional Cancer Program, London, Ontario, Canada; Department of Oncology, The University of Western Ontario, London, Ontario, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,
current estimate of costs of lung cancer screening in the united states,https://pubmed.ncbi.nlm.nih.gov/25901564/,07,03,2015,Thoracic surgery clinics,25,2,1558-5069,David C,Mauchley,John D,Mitchell,"Division of Cardiothoracic Surgery, University of Colorado School of Medicine, 12631 East 17th Avenue, C-310, Aurora, CO 80045, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Division of Cardiothoracic Surgery, University of Colorado School of Medicine, 12631 East 17th Avenue, C-310, Aurora, CO 80045, USA. Electronic address: john.mitchell@ucdenver.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
