Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 2 First Name,Author 2 Last Name,Author 1 Affiliation,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Collective Author 1,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation,Collective Author 2,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name
digital tomosynthesis applications in pediatric orthopedic imaging: a case series,https://pubmed.ncbi.nlm.nih.gov/30228765/,XX,XX,2018,Missouri medicine,115,4,0026-6620,Sherwin,Chan,,,"Sherwin Chan, MD, is Assistant Professor Pediatric Radiology, Children's Mercy, University of Missouri, Kansas City, Kansas City, Mo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
satisfaction with care among men with localised prostate cancer: a nationwide population-based study,https://pubmed.ncbi.nlm.nih.gov/31100227/,15,05,2018,European urology oncology,1,1,2588-9311,Oskar,Bergengren,Hans,Garmo,"Department of Surgical Sciences, Uppsala University Hospital, Uppsala, Sweden. Electronic address: oskar.bergengren@akademiska.se.",Ola,Bratt,Lars,Holmberg,Eva,Johansson,Anna,Bill-Axelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Regional Cancer Centre Uppsala Örebro, Uppsala University Hospital, Uppsala, Sweden.","Department of Urology, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.","Department of Surgical Sciences, Uppsala University Hospital, Uppsala, Sweden.","Department of Surgical Sciences, Uppsala University Hospital, Uppsala, Sweden.","Department of Surgical Sciences, Uppsala University Hospital, Uppsala, Sweden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a decision analysis comparing 3 active surveillance protocols for the treatment of patients with low-risk prostate cancer,https://pubmed.ncbi.nlm.nih.gov/30561761/,18,12,2018,Cancer,125,6,1097-0142,Craig,White,Tony,Nimeh,"PhD Program in Health Policy, Graduate School of Arts and Sciences, Harvard University, Boston, Massachusetts.",G Scott,Gazelle,Milton C,Weinstein,Kevin R,Loughlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Urology, University of Illinois at Chicago, Chicago, Illinois.","Department of Radiology, Institute for Technology Assessment, Massachusetts General Hospital, Boston, Massachusetts.","Department of Health Policy and Management, Harvard T. H. Chan School of Public Health, Boston, Massachusetts.","Department of Urology, Brigham and Women's Hospital, Boston, Massachusetts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a quantitative clinical decision-support strategy identifying which patients with oropharyngeal head and neck cancer may benefit the most from proton radiation therapy,https://pubmed.ncbi.nlm.nih.gov/30496877/,26,11,2018,"International journal of radiation oncology, biology, physics",104,3,1879-355X,N Patrik,Brodin,Rafi,Kabarriti,"Institute for Onco-Physics, Albert Einstein College of Medicine, Bronx, New York; Department of Radiation Oncology, Montefiore Medical Center, Bronx, New York.",Mark,Pankuch,Clyde B,Schechter,Vinai,Gondi,Shalom,Kalnicki,Chandan,Guha,Madhur K,Garg,Wolfgang A,Tomé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Institute for Onco-Physics, Albert Einstein College of Medicine, Bronx, New York; Department of Radiation Oncology, Montefiore Medical Center, Bronx, New York.","Northwestern Medicine Chicago Proton Center, Warrenville, Illinois.","Department of Family and Social Medicine, Albert Einstein College of Medicine, Bronx, New York.","Northwestern Medicine Chicago Proton Center, Warrenville, Illinois.","Department of Radiation Oncology, Montefiore Medical Center, Bronx, New York; Department of Urology, Montefiore Medical Center, Bronx, New York.","Institute for Onco-Physics, Albert Einstein College of Medicine, Bronx, New York; Department of Radiation Oncology, Montefiore Medical Center, Bronx, New York; Department of Urology, Montefiore Medical Center, Bronx, New York; Department of Pathology, Albert Einstein College of Medicine, Bronx, New York.","Institute for Onco-Physics, Albert Einstein College of Medicine, Bronx, New York; Department of Radiation Oncology, Montefiore Medical Center, Bronx, New York; Northwestern Medicine Chicago Proton Center, Warrenville, Illinois; Department of Otorhinolaryngology-Head & Neck Surgery, Montefiore Medical Center, Bronx, New York.","Institute for Onco-Physics, Albert Einstein College of Medicine, Bronx, New York; Department of Radiation Oncology, Montefiore Medical Center, Bronx, New York; Department of Neurology, Albert Einstein College of Medicine, Bronx, New York. Electronic address: wolfgang.tome@einstein.yu.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,
intensity-modulated radiation therapy (imrt) versus 3-dimensional conformal radiation therapy (3d-crt) for head and neck cancer: cost-effectiveness analysis,https://pubmed.ncbi.nlm.nih.gov/30133610/,XX,04,2018,Revista da Associacao Medica Brasileira (1992),64,4,1806-9282,Gustavo Nader,Marta,Eduardo,Weltman,"Department of Radiation Oncology; Hospital Sírio-Libanês and Instituto do Câncer de Estado de São Paulo (ICESP) - Faculdade de Medicina da Universidade de São Paulo (FMUSP); São Paulo, Brasil.",Robson,Ferrigno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Radiation Oncology; Hospital Israelita Albert Einstein, São Paulo, Brasil; Faculdade de Medicina da Universidade de São Paulo (FMUSP) Discipline of Radiation Oncology, São Paulo, Brasil.","Department of Radiation Oncology; Hospital Beneficiência Portuguesa, São Paulo, Brasil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refined nomogram incorporating standing cough test improves prediction of male transobturator sling success,https://pubmed.ncbi.nlm.nih.gov/29717511/,01,05,2018,Neurourology and urodynamics,37,8,1520-6777,Nabeel A,Shakir,Joceline S,Fuchs,"Department of Urology, UT Southwestern Medical Center, Dallas, Texas.",Maxim J,McKibben,Boyd R,Viers,Travis J,Pagliara,Jeremy M,Scott,Allen F,Morey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Urology, UT Southwestern Medical Center, Dallas, Texas.","Department of Urology, UT Southwestern Medical Center, Dallas, Texas.","Department of Urology, UT Southwestern Medical Center, Dallas, Texas.","Department of Urology, UT Southwestern Medical Center, Dallas, Texas.","Department of Urology, UT Southwestern Medical Center, Dallas, Texas.","Department of Urology, UT Southwestern Medical Center, Dallas, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imaging and scopes? it's bloody time for another branch in the decision tree,https://pubmed.ncbi.nlm.nih.gov/29482847/,08,02,2018,The Journal of thoracic and cardiovascular surgery,155,5,1097-685X,Virginia R,Litle,,,"Division of Thoracic Surgery, Department of Surgery, Boston University School of Medicine, Boston, Mass. Electronic address: Virginia.litle@bmc.org.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
present developments in reaching an international consensus for a model-based approach to particle beam therapy,https://pubmed.ncbi.nlm.nih.gov/29529229/,01,03,2018,Journal of radiation research,59,suppl_1,1349-9157,Anussara,Prayongrat,Kikuo,Umegaki,"Department of Radiation Oncology, Graduate School of Medicine, Hokkaido University, North-15 West-7, Kita-ku, Sapporo, 0608638, Japan.",Arjen,van der Schaaf,Albert C,Koong,Steven H,Lin,Thomas,Whitaker,Todd,McNutt,Naruhiro,Matsufuji,Edward,Graves,Masahiko,Mizuta,Kazuhiko,Ogawa,Hiroyuki,Date,Kensuke,Moriwaki,Yoichi M,Ito,Keiji,Kobashi,Yasuhiro,Dekura,Shinichi,Shimizu,Hiroki,Shirato,,,,,,,,,,,,,,,,,,,,"Faculty of Engineering, Hokkaido University, North-13, West-8, Kita-ku, Sapporo, 0608628, Japan.","Department of Radiation Oncology, University Medical Center Groningen, Hanzeplein 1, 9713 GZ, Groningen, The Netherlands.","Department of Radiation Oncology, The University of Texas MD Anderson Cancer Center, 1515 Holcombe Blvd, Houston, TX 77030, USA.","Department of Radiation Oncology, The University of Texas MD Anderson Cancer Center, 1515 Holcombe Blvd, Houston, TX 77030, USA.","Department of Radiation Oncology, Mayo Clinic, 200 1st St SW, Rochester, MN 55902, USA.","Department of Radiation Oncology and Molecular Radiation Sciences, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, 733 N Broadway, Baltimore, MD 21205, USA.","National Institute of Radiological Sciences, 4 Chome-9-1 Anagawa, Inage Ward, Chiba, 2630024, Japan.","Department of Radiation Oncology, Stanford University, 291 Campus Drive, Stanford, CA 94305, USA.","Graduate School of Information Science and Technology, Hokkaido University, North-14 West-9, Kita-ku, Sapporo, 0600814, Japan.","Department of Radiation Oncology, Graduate School of Medicine, Osaka University, 2-2 Yamadaoka, Suita, Osaka, 565-0871, Japan.","Faculty of Health Sciences, Hokkaido University, North-12 West-5, Kita-ku, Sapporo, 060-0812, Japan.","Department of Medical Statistics, Kobe Pharmaceutical University, 4-19-1, Motoyamakitamachi, Higashinada-ku, Kobe-shi, Hyogo, 658-8558, Japan.","Department of Biostatistics, Faculty of Medicine, Hokkaido University, North-15 West-7, Kita-ku, Sapporo, 0608638, Japan.","Department of Medical Physics, Faculty of Medicine, Hokkaido University, North-15 West-7, Kita-ku, Sapporo, 0608638, Japan.","Department of Radiation Oncology, Graduate School of Medicine, Hokkaido University, North-15 West-7, Kita-ku, Sapporo, 0608638, Japan.","Global Station for Quantum Biomedical Science and Engineering, Global Institute for Cooperative Research and Education, Hokkaido University, North-15 West-7, Kita-ku, Sapporo, 0608638, Japan.","Global Station for Quantum Biomedical Science and Engineering, Global Institute for Cooperative Research and Education, Hokkaido University, North-15 West-7, Kita-ku, Sapporo, 0608638, Japan.",,,,,,,,,,,,,,,,,,
cost-effectiveness analysis of stereotactic body radiotherapy and surgery for medically operable early stage non small cell lung cancer,https://pubmed.ncbi.nlm.nih.gov/29706462/,26,04,2018,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,128,3,1879-0887,Adrien,Paix,Georges,Noel,"Radiotherapy Department, Centre Paul Strauss, 67065 Strasbourg cedex, France. Electronic address: apaix@strasbourg.unicancer.fr.",Pierre-Emmanuel,Falcoz,Pierre,Levy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiotherapy Department, Centre Paul Strauss, 67065 Strasbourg cedex, France; Radiobiology Laboratory EA 3430, Federation of Translational Medicine in Strasbourg (FMTS), Strasbourg University, France.","Thoracic Surgery Department, Strasbourg University Hospital, France.","LEDa - LEGOS, Université Paris - Dauphine, France.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nomogram for predicting para-aortic lymph node metastases in patients with cervical cancer,https://pubmed.ncbi.nlm.nih.gov/29943132/,26,06,2018,Archives of gynecology and obstetrics,298,2,1432-0711,Weiping,Wang,Xiaoliang,Liu,"Department of Radiation Oncology, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, NO.1 Shuaifuyuan Wangfujing, Dongcheng District, Beijing, 100730, People's Republic of China.",Qingyu,Meng,Fuquan,Zhang,Ke,Hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Radiation Oncology, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, NO.1 Shuaifuyuan Wangfujing, Dongcheng District, Beijing, 100730, People's Republic of China.","Department of Radiation Oncology, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, NO.1 Shuaifuyuan Wangfujing, Dongcheng District, Beijing, 100730, People's Republic of China.","Department of Radiation Oncology, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, NO.1 Shuaifuyuan Wangfujing, Dongcheng District, Beijing, 100730, People's Republic of China. zhangfuquan3@sina.com.","Department of Radiation Oncology, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, NO.1 Shuaifuyuan Wangfujing, Dongcheng District, Beijing, 100730, People's Republic of China. huke8000@163.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
