Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 2 First Name,Author 2 Last Name,Author 1 Affiliation,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Collective Author 1,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation,Collective Author 2,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name
"prostate cancer: treatment-specific nomograms, biochemical recurrence, and prostate cancer-specific mortality",https://pubmed.ncbi.nlm.nih.gov/25330792/,21,10,2014,Nature reviews. Urology,11,12,1759-4820,Robert,Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multivariate regression approaches for surrogate-based diffeomorphic estimation of respiratory motion in radiation therapy,https://pubmed.ncbi.nlm.nih.gov/24557007/,20,02,2014,Physics in medicine and biology,59,5,1361-6560,M,Wilms,R,Werner,"Institute of Medical Informatics, University of Lübeck, D-23538 Lübeck, Germany.",J,Ehrhardt,A,Schmidt-Richberg,H-P,Schlemmer,H,Handels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intraoperative radiotherapy for early breast cancer: do health professionals choose convenience or risk?,https://pubmed.ncbi.nlm.nih.gov/24461031/,25,01,2014,"Radiation oncology (London, England)",9,,1748-717X,Tammy,Corica,David,Joseph,"University of Western Australia PhD Candidate, School of Medicine and Pharmacology, Comprehensive Cancer Centre, Sir Charles Gairdner Hospital, Nedlands, WA 6009, Australia. Tammy.Corica@health.wa.gov.au.",Christobel,Saunders,Max,Bulsara,Anna K,Nowak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clinical radiobiology of glioblastoma multiforme: estimation of tumor control probability from various radiotherapy fractionation schemes,https://pubmed.ncbi.nlm.nih.gov/24699988/,04,04,2014,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],190,10,1439-099X,Piernicola,Pedicini,Alba,Fiorentino,"Unit of Nuclear Medicine, Department of Radiation and Metabolic Therapies, I.R.C.C.S.-Regional-Cancer-Hospital-C.R.O.B, 1-Padre-Pio-Street, Rionero-in-Vulture, Italy, ppiern@libero.it.",Vittorio,Simeon,Paolo,Tini,Costanza,Chiumento,Luigi,Pirtoli,Marco,Salvatore,Giovanni,Storto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness analysis of intensity modulated radiation therapy versus 3-dimensional conformal radiation therapy for anal cancer,https://pubmed.ncbi.nlm.nih.gov/24726392/,09,04,2014,"International journal of radiation oncology, biology, physics",89,4,1879-355X,Joseph C,Hodges,Muhammad S,Beg,"Department of Radiation Oncology, University of Texas Southwestern Medical Center, Dallas, Texas. Electronic address: joseph.hodges@utsouthwestern.edu.",Prajnan,Das,Jeffrey,Meyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Division of Hematology and Oncology, University of Texas Southwestern Medical Center, Dallas, Texas.","Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, Texas.","Department of Radiation Oncology, University of Texas Southwestern Medical Center, Dallas, Texas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a decision model to estimate the cost-effectiveness of intensity modulated radiation therapy (imrt) compared to three dimensional conformal radiation therapy (3dcrt) in patients receiving radiotherapy to the prostate bed,https://pubmed.ncbi.nlm.nih.gov/24929702/,11,06,2014,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,112,2,1879-0887,Hannah E,Carter,Andrew,Martin,"NHMRC Clinical Trials Centre, University of Sydney, Camperdown, Australia. Electronic address: hannah.carter@ctc.usyd.edu.au.",Deborah,Schofield,Gillian,Duchesne,Annette,Haworth,Colin,Hornby,Mark,Sidhom,Michael,Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NHMRC Clinical Trials Centre, University of Sydney, Camperdown, Australia.","NHMRC Clinical Trials Centre, University of Sydney, Camperdown, Australia.","Sir Peter MacCallum Dept of Oncology, University of Melbourne, Australia.","Sir Peter MacCallum Dept of Oncology, University of Melbourne, Australia; Dept Physical Sciences, Peter MacCallum Cancer Centre, Melbourne, Australia.","Division of Radiation Oncology, Peter MacCallum Cancer Centre, Australia.","Liverpool Cancer Therapy Centre, Australia.","Faculty of Medicine, University of New South Wales, Sydney, Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
long-term health-related quality of life after primary treatment for localized prostate cancer: results from the capsure registry,https://pubmed.ncbi.nlm.nih.gov/25242555/,18,09,2014,European urology,68,4,1873-7560,Sanoj,Punnen,Janet E,Cowan,"Department of Urology, Miller School of Medicine, University of Miami, Miami, FL, USA.",June M,Chan,Peter R,Carroll,Matthew R,Cooperberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, USA.","University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, USA.","University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, USA.","University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, USA. Electronic address: mcooperberg@urology.ucsf.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monte carlo simulation to analyze the cost-benefit of radioactive seed localization versus wire localization for breast-conserving surgery in fee-for-service health care systems compared with accountable care organizations,https://pubmed.ncbi.nlm.nih.gov/24848839/,XX,06,2014,AJR. American journal of roentgenology,202,6,1546-3141,Vilert A,Loving,David B,Edwards,"1 Department of Diagnostic Imaging, Banner M. D. Anderson Cancer Center, 2940 E Banner Gateway Dr, Ste 315, Gilbert, AZ 85234.",Kevin T,Roche,Joseph R,Steele,Stephen A,Sapareto,Stephanie C,Byrum,Donald F,Schomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radical prostatectomy versus radiation therapy: can pretreatment nomograms be used to select the appropriate prostate cancer treatment?,https://pubmed.ncbi.nlm.nih.gov/25457494/,28,10,2014,European urology,67,2,1873-7560,Ross M,Simon,Joseph K,Salama,"Duke Prostate Center, Division of Urology, Department of Surgery and Pathology, Duke University School of Medicine, Durham, NC, USA; Urology Section, Veterans Affairs Medical Center, Durham, NC, USA.",Stephen J,Freedland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Radiation Oncology, Duke University School of Medicine, Durham, NC, USA; Department of Radiation Oncology, Veterans Affairs Medical Center, Durham, NC, USA.","Duke Prostate Center, Division of Urology, Department of Surgery and Pathology, Duke University School of Medicine, Durham, NC, USA; Urology Section, Veterans Affairs Medical Center, Durham, NC, USA. Electronic address: steve.freedland@dm.duke.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treatment of cervical cancer,https://pubmed.ncbi.nlm.nih.gov/25090765/,XX,06,2014,La Revue du praticien,64,6,0035-2640,Cyril,Touboul,Dounia,Skalli,,Eric,Guillo,Michel,Martin,Emmanuelle,Mallaurie,Dhouha,Mansouri,Issam,Abd Al Samad,Naima,Chabi,Sylvie,Hospitel,Martin,Koskas,Bassam,Haddad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
