Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 2 First Name,Author 2 Last Name,Author 1 Affiliation,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Collective Author 1,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation,Collective Author 2,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name
two-year and lifetime cost-effectiveness of intensity modulated radiation therapy versus 3-dimensional conformal radiation therapy for head-and-neck cancer,https://pubmed.ncbi.nlm.nih.gov/24138916/,15,11,2013,"International journal of radiation oncology, biology, physics",87,4,1879-355X,Racquel E,Kohler,Nathan C,Sheets,"Department of Health Policy and Management, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina.",Stephanie B,Wheeler,Chris,Nutting,Emma,Hall,Bhishamjit S,Chera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radiotherapy demand and activity in england 2006-2020,https://pubmed.ncbi.nlm.nih.gov/23768454/,12,06,2013,Clinical oncology (Royal College of Radiologists (Great Britain)),25,9,1433-2981,C E,Round,M V,Williams,"Cambridge University Hospitals NHS Foundation Trust, Cambridge, UK.",T,Mee,N F,Kirkby,T,Cooper,P,Hoskin,R,Jena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a validated web-based nomogram for predicting positive surgical margins following breast-conserving surgery as a preoperative tool for clinical decision-making,https://pubmed.ncbi.nlm.nih.gov/23462681/,23,02,2013,"Breast (Edinburgh, Scotland)",22,5,1532-3080,Rick G,Pleijhuis,Annemiek B G,Kwast,"Department of Surgery, University Medical Center Groningen, Groningen, The Netherlands.",Liesbeth,Jansen,Jakob,de Vries,Rosanne,Lanting,Joost,Bart,Theo,Wiggers,Gooitzen M,van Dam,Sabine,Siesling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
an oral cavity carcinoma nomogram to predict benefit of adjuvant radiotherapy,https://pubmed.ncbi.nlm.nih.gov/23680917/,XX,06,2013,JAMA otolaryngology-- head & neck surgery,139,6,2168-619X,Samuel J,Wang,Snehal G,Patel,"Department of Radiation Medicine, KPV4, Oregon Health&Science University, 3181 SW Sam Jackson Park Rd, Portland, OR 97239-3098, USA. wangsa@ohsu.edu",Jatin P,Shah,David P,Goldstein,Jonathan C,Irish,Andre L,Carvalho,Luiz P,Kowalski,Jennifer L,Lockhart,John M,Holland,Neil D,Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resection of lateral temporal lobe arteriovenous malformations,https://pubmed.ncbi.nlm.nih.gov/23605372/,21,04,2013,Acta neurochirurgica,155,8,0942-0940,Theresa,Williamson,Ryan A,Grant,"Department of Neurosurgery, Yale University School of Medicine and Yale-New Haven Medical Center, 333 Cedar St., New Haven, CT 06510, USA. theresa.williamson@yale.edu",Ketan R,Bulsara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"observation versus initial treatment for men with localized, low-risk prostate cancer: a cost-effectiveness analysis",https://pubmed.ncbi.nlm.nih.gov/23778902/,18,06,2013,Annals of internal medicine,158,12,1539-3704,Julia H,Hayes,Daniel A,Ollendorf,"Lank Center for Genitourinary Oncology, Dana-Farber Cancer Institute, Harvard Medical School, Institute for Clinical and Economic Review, Institute for Technology Assessment, Boston, MA 02115, USA. Julia_Hayes@dfci.harvard.edu",Steven D,Pearson,Michael J,Barry,Philip W,Kantoff,Pablo A,Lee,Pamela M,McMahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost effectiveness of modified fractionation radiotherapy versus conventional radiotherapy for unresected non-small-cell lung cancer patients,https://pubmed.ncbi.nlm.nih.gov/24457241/,XX,10,2013,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,8,10,1556-1380,Bram L T,Ramaekers,Manuela A,Joore,"*Department of Health Services Research, CAPHRI-School for Public Health and Primary Care, Maastricht University, Maastricht, The Netherlands; †Department of Clinical Epidemiology and Medical Technology Assessment (KEMTA), Maastricht University Medical Center, Maastricht, The Netherlands; ‡Service Biostatistique et Epidémiologie, and §Département d'Oncologie et de Radiothérapie, Gustave Roussy, Villejuif, France; ‖Department of Radiation Oncology (MAASTRO), GROW-School for Oncology and Developmental Biology, Maastricht University Medical Center, Maastricht, The Netherlands; ¶Department of Radiation Oncology, University Hospital Leuven/KU Leuven, Leuven, Belgium; #List of the members of Meta-Analysis of Radiotherapy in Lung Cancer Collaborative Group is given at the end of the acknowledgments; and **Department of Epidemiology, Biostatistics and HTA, University Medical Center, St. Radboud, Nijmegen, The Netherlands. Institut Gustave-Roussy/Karolinska Institutet Radiation Therapy Oncology Group Peter MacCallum Cancer Centre and the University of Melbourne University of Dresden Maria Sklodowska-Curie Memorial Cancer Center and Institute of Oncology Penn State Hershey Cancer Institute Peter MacCallum Cancer Centre Victorian Comprehensive Cancer Centre University of Alabama-Birmingham The University of Texas Southwestern Dana-Farber Cancer Institute University Hospital Leuven and University Hospital Maastricht Mount Vernon Hospital Institut de Cancérologie de la Loire University of Dresden Institut Gustave-Roussy Mayo Clinic Institut Gustave-Roussy Centre Hospitalier Lyon Sud MRC Clinical Trials Unit Mayo Clinic MRC Clinical Trials Unit Radiation Therapy Oncology Group Institut Gustave-Roussy Mount Vernon Hospital Intermountain Medical Center Mayo Clinic Sinai Grace Hospital Maria Sklodowska -Curie Memorial Cancer Center and Institute of Oncology.",Béranger,Lueza,Julia,Bonastre,Audrey,Mauguen,Jean-Pierre,Pignon,Cecile,Le Pechoux,Dirk K M,De Ruysscher,,,Janneke P C,Grutters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAR-LC Collaborative group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
upfront treatment of locally advanced cervical cancer with intensity modulated radiation therapy compared to four-field radiation therapy: a cost-effectiveness analysis,https://pubmed.ncbi.nlm.nih.gov/23500086/,13,03,2013,Gynecologic oncology,129,3,1095-6859,Jamie L,Lesnock,Coreen,Farris,"Mid Atlantic Gynecologic Oncology of Mon General Hospital, Morgantown, WV 26505, USA. Lesnockj@monhealthsys.org",Sushil,Beriwal,Thomas C,Krivak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
death from high-risk prostate cancer versus cardiovascular mortality with hormonal therapy: a decision analysis,https://pubmed.ncbi.nlm.nih.gov/23400678/,07,02,2013,Cancer,119,10,1097-0142,Nataniel H,Lester-Coll,Samuel Z,Goldhaber,"Department of Internal Medicine, Yale University School of Medicine, New Haven, Connecticut, USA. nataniel.lester-coll@yale.edu",David J,Sher,Anthony V,D'Amico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost effectiveness of proton therapy compared with photon therapy in the management of pediatric medulloblastoma,https://pubmed.ncbi.nlm.nih.gov/24105630/,16,09,2013,Cancer,119,24,1097-0142,Raymond B,Mailhot Vega,Jane,Kim,"Department of Radiation Oncology, Washington University in St. Louis School of Medicine, St. Louis, Missouri.",Marc,Bussière,Jona,Hattangadi,Abby,Hollander,Jeff,Michalski,Nancy J,Tarbell,Torunn,Yock,Shannon M,MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
