Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 2 First Name,Author 2 Last Name,Author 1 Affiliation,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Collective Author 1,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation,Collective Author 2,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name
the brave new world of endometrial cancer : future implications for adjuvant treatment decisions,https://pubmed.ncbi.nlm.nih.gov/32430662/,19,05,2020,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],196,11,1439-099X,S,Marnitz,T,Waltar,"Medical Faculty, Department of Radiation Oncology, CyberKnife and Radiotherapy, University Cologne, Kerpener Str. 62, 50937, Cologne, Germany. simone.marnitz-schulze@uk-koeln.de.",C,Köhler,A,Mustea,B,Schömig-Markiefka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Faculty, Department of Radiation Oncology, CyberKnife and Radiotherapy, University Cologne, Kerpener Str. 62, 50937, Cologne, Germany.","Department for Specialized Laparoscopic Surgery, Asklepios Clinic Hamburg-Altona, Hamburg, Germany.","Medical Faculty, Department of Gynecology, University Clinic Bonn, Bonn, Germany.","Medical Faculty, Institute of Pathology, University Cologne, Cologne, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development and validation of a novel prognostic score for elderly head-and-neck cancer patients undergoing radiotherapy or chemoradiation,https://pubmed.ncbi.nlm.nih.gov/33245947/,24,11,2020,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,154,,1879-0887,Alexander,Rühle,Carmen,Stromberger,"Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.",Erik,Haehl,Carolin,Senger,Hélène,David,Raluca,Stoian,Constantinos,Zamboglou,Andreas,Knopf,Volker,Budach,Anca-Ligia,Grosu,Nils H,Nicolay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Radiation Oncology, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Germany; Augustenburger Platz 1, Berlin, Germany.","Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Radiation Oncology, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Germany; Augustenburger Platz 1, Berlin, Germany.","Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Otorhinolaryngology, University of Freiburg - Medical Center, Germany.","Department of Radiation Oncology, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Germany; Augustenburger Platz 1, Berlin, Germany; German Cancer Consortium (DKTK) Partner Site Berlin, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany.","Department of Radiation Oncology, University of Freiburg - Medical Center, Germany; German Cancer Consortium (DKTK) Partner Site Freiburg, German Cancer Research Center (dkfz), Heidelberg, Germany. Electronic address: nils.nicolay@uniklinik-freiburg.de.",,,,,,,,,,,,,,,,,,,,,,,,,
toxicity reduction required for mri-guided radiotherapy to be cost-effective in the treatment of localized prostate cancer,https://pubmed.ncbi.nlm.nih.gov/32783629/,12,08,2020,The British journal of radiology,93,1114,1748-880X,Leif-Erik D,Schumacher,Alan,Dal Pra,"Radiation Oncology, Sylvester Comprehensive Cancer Center, Miller School of Medicine, University of Miami, Miami, FL, United States.",Sarah E,Hoffe,Eric A,Mellon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiation Oncology, Sylvester Comprehensive Cancer Center, Miller School of Medicine, University of Miami, Miami, FL, United States.","Radiation Oncology, H. Lee Moffitt Cancer Center and Research Institute, Tampa, FL, United States.","Radiation Oncology and Bioengineering, Sylvester Comprehensive Cancer Center, Miller School of Medicine, University of Miami, Miami, FL, United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-utility of early breast cancer surveillance in survivors of thoracic radiation-treated adolescent hodgkin lymphoma,https://pubmed.ncbi.nlm.nih.gov/31070751/,01,01,2020,Journal of the National Cancer Institute,112,1,1460-2105,Jill,Furzer,Lauren,Tessier,"Institute for Health Policy, Management and Evaluation, University of Toronto, Toronto, Ontario, Canada.",David,Hodgson,Cecilia,Cotton,Paul C,Nathan,Sumit,Gupta,Petros,Pechlivanoglou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Institute for Health Policy, Management and Evaluation, University of Toronto, Toronto, Ontario, Canada.","Radiation Medicine Program, Princess Margaret Cancer Centre, University of Toronto, Toronto, Ontario, Canada.","Department of Statistics and Actuarial Sciences, University of Waterloo, Waterloo, Ontario, Canada.","Institute for Health Policy, Management and Evaluation, University of Toronto, Toronto, Ontario, Canada.","Institute for Health Policy, Management and Evaluation, University of Toronto, Toronto, Ontario, Canada.","Institute for Health Policy, Management and Evaluation, University of Toronto, Toronto, Ontario, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness analysis of endocrine therapy alone versus partial-breast irradiation alone versus combined treatment for low-risk hormone-positive early-stage breast cancer in women aged 70 years or older,https://pubmed.ncbi.nlm.nih.gov/32468336/,28,05,2020,Breast cancer research and treatment,182,2,1573-7217,Matthew C,Ward,Frank,Vicini,"Levine Cancer Institute, Atrium Health, Charlotte, NC, USA.",Zahraa,Al-Hilli,Manjeet,Chadha,Lori,Pierce,Abram,Recht,James,Hayman,Nikhil,Thaker,Atif J,Khan,Martin,Keisch,Chirag,Shah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21st Century Oncology, Farmington Hills, MI, USA.","Department of Breast Surgery, Cleveland Clinic, Cleveland, OH, USA.","Ichan School of Medicine at Mt. Sinai, New York, NY, USA.","University of Michigan, Ann Arbor, MI, USA.","Beth Israel Deaconess Medical Center, Boston, MA, USA.","University of Michigan, Ann Arbor, MI, USA.","Arizona Oncology, Tucson, AZ, USA.","Memorial Sloan Kettering Cancer Center, New York, NY, USA.","Cancer Health Care Associates, Miami, FL, USA.","Department of Radiation Oncology, Taussig Cancer Institute, Cleveland Clinic, Cleveland, OH, 44195, USA. shahc4@ccf.org.",,,,,,,,,,,,,,,,,,,,,,,,,
accuracy of high-resolution rectal magnetic resonance imaging re-staging with histopathology in locally advanced rectal cancer after neoadjuvant chemoradiotherapy,https://pubmed.ncbi.nlm.nih.gov/32712044/,22,07,2020,Asian journal of surgery,44,1,0219-3108,Supparerk,Laohawiriyakamol,Supong,Worathanmanon,"Department of Surgery, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand. Electronic address: lsuppare@gmail.com.",Teeravut,Tubtawee,Kanet,Kanjanapradit,Surasak,Sangkhathat,Nannapat,Pruphetkaew,Virasakdi,Chongsuvivatwong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Surgery, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.","Department of Radiology, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.","Department of Pathology, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.","Department of Surgery, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.","Epidemiology Unit, Faculty of Medicine, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.","Epidemiology Unit, Faculty of Medicine, Prince of Songkla University, Hat Yai, Songkhla, 90110, Thailand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of treating head and neck cancer using intensity-modulated radiation therapy: implications for cancer control program in india,https://pubmed.ncbi.nlm.nih.gov/32962782/,23,09,2020,International journal of technology assessment in health care,36,5,1471-6348,Akashdeep Singh,Chauhan,Shankar,Prinja,"Department of Community Medicine and School of Public Health, Post Graduate Institute of Medical Education and Research, Chandigarh, India.",Sushmita,Ghoshal,Roshan,Verma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Community Medicine and School of Public Health, Post Graduate Institute of Medical Education and Research, Chandigarh, India.","Department of Radiation Oncology, Post Graduate Institute of Medical Education and Research, Chandigarh, India.","Department of Otolaryngology, Post Graduate Institute of Medical Education and Research, Chandigarh, India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost-effectiveness of metastasis-directed therapy in oligorecurrent hormone-sensitive prostate cancer,https://pubmed.ncbi.nlm.nih.gov/32544574/,13,06,2020,"International journal of radiation oncology, biology, physics",108,4,1879-355X,Neil R,Parikh,Eric M,Chang,"Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California.",Nicholas G,Nickols,Matthew B,Rettig,Ann C,Raldow,Michael L,Steinberg,Bridget F,Koontz,Neha,Vapiwala,Curtiland,Deville,Felix Y,Feng,Daniel E,Spratt,Robert E,Reiter,Ryan,Phillips,Piet,Ost,Phuoc T,Tran,Amar U,Kishan,,,,,,,,,,,,,,,,,,,,,,,,"Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California.","Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California; VA Greater Los Angeles Health System, Los Angeles, California; Department of Urology, University of California Los Angeles, Los Angeles, California.","VA Greater Los Angeles Health System, Los Angeles, California; Department of Medical Oncology, University of California Los Angeles, Los Angeles, California.","Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California.","Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California.","Department of Radiation Oncology, Duke University School of Medicine, Durham, North Carolina.","Department of Radiation Oncology, University of Pennsylvania School of Medicine, Philadelphia, Pennsylvania.","Department of Radiation Oncology, Johns Hopkins University School of Medicine, Baltimore, Maryland.","Department of Radiation Oncology, University of California San Francisco, San Francisco, California.","Department of Radiation Oncology, University of Michigan, Ann Arbor, Michigan.","Department of Urology, University of California Los Angeles, Los Angeles, California.","Department of Radiation Oncology, Johns Hopkins University School of Medicine, Baltimore, Maryland.","Department of Radiotherapy, Ghent University Hospital, Ghent, Belgium.","Department of Radiation Oncology, Johns Hopkins University School of Medicine, Baltimore, Maryland.","Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California; Department of Urology, University of California Los Angeles, Los Angeles, California. Electronic address: aukishan@mednet.ucla.edu.",,,,,,,,,,,,,,,,,,,,
a nomogram based on pretreatment ct radiomics features for predicting complete response to chemoradiotherapy in patients with esophageal squamous cell cancer,https://pubmed.ncbi.nlm.nih.gov/33121507/,29,10,2020,"Radiation oncology (London, England)",15,1,1748-717X,He-San,Luo,Shao-Fu,Huang,"Department of Radiation Oncology, Nanfang Hospital, Southern Medical University, Guangzhou, 510515, Guangdong Province, China.",Hong-Yao,Xu,Xu-Yuan,Li,Sheng-Xi,Wu,De-Hua,Wu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Radiotherapy, Shantou Central Hospital, Shantou, Guangdong, China.","Department of Radiotherapy, Shantou Central Hospital, Shantou, Guangdong, China.","Department of Medical Oncology, Shantou Central Hospital, Shantou, Guangdong, China.","Department of Radiotherapy, Shantou Central Hospital, Shantou, Guangdong, China.","Department of Radiation Oncology, Nanfang Hospital, Southern Medical University, Guangzhou, 510515, Guangdong Province, China. 18602062748@163.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost effectiveness of external beam radiation therapy versus percutaneous image-guided cryoablation for palliation of uncomplicated bone metastases,https://pubmed.ncbi.nlm.nih.gov/32674872/,13,07,2020,Journal of vascular and interventional radiology : JVIR,31,8,1535-7732,Eric M,Chang,Narek,Shaverdian,"Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California.",Nina,Capiro,Michael L,Steinberg,Ann C,Raldow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Radiation Oncology, Memorial Sloan Kettering Cancer Center, New York, New York.","Department of Radiology, University of California Los Angeles, Los Angeles, California.","Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California.","Department of Radiation Oncology, University of California Los Angeles, Los Angeles, California. Electronic address: ARaldow@mednet.ucla.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
