Title,URL,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 3 First Name,Author 3 Last Name,Author 4 First Name,Author 4 Last Name,Author 5 First Name,Author 5 Last Name,Author 6 First Name,Author 6 Last Name,Author 7 First Name,Author 7 Last Name,Author 8 First Name,Author 8 Last Name,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation,Author 9 First Name,Author 9 Last Name,Author 10 First Name,Author 10 Last Name,Author 11 First Name,Author 11 Last Name,Author 12 First Name,Author 12 Last Name,Author 13 First Name,Author 13 Last Name,Author 14 First Name,Author 14 Last Name,Collective Author 1,Collective Author 2,Author 5 Affiliation,Author 6 Affiliation,Author 7 Affiliation,Author 8 Affiliation,Author 9 Affiliation,Author 10 Affiliation,Author 11 Affiliation,Author 12 Affiliation,Author 13 Affiliation,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 16 First Name,Author 16 Last Name,Author 17 First Name,Author 17 Last Name,Author 18 First Name,Author 18 Last Name,Author 19 First Name,Author 19 Last Name,Author 20 First Name,Author 20 Last Name,Author 21 First Name,Author 21 Last Name,Author 22 First Name,Author 22 Last Name,Author 15 Affiliation,Author 16 Affiliation,Author 17 Affiliation,Author 23 First Name,Author 23 Last Name,Author 24 First Name,Author 24 Last Name,Author 25 First Name,Author 25 Last Name,Author 26 First Name,Author 26 Last Name,Author 27 First Name,Author 27 Last Name,Author 28 First Name,Author 28 Last Name,Author 29 First Name,Author 29 Last Name,Author 30 First Name,Author 30 Last Name,Author 31 First Name,Author 31 Last Name,Author 32 First Name,Author 32 Last Name,Author 33 First Name,Author 33 Last Name,Author 18 Affiliation,Author 19 Affiliation,Author 20 Affiliation,Author 21 Affiliation,Author 22 Affiliation,Author 23 Affiliation
"summary of the standards, options and recommendations for the management of patients with nonmetastatic prostate cancer (2001)",https://pubmed.ncbi.nlm.nih.gov/12915903/,XX,08,2003,British journal of cancer,89 Suppl 1,,0007-0920,A,Villers,"CHRU Hôpital Huriez, Lille, France.",P,Pommier,A,Bataillard,B,Fervers,J M,Bachaud,N,Berger,A F,Bertrand,R,Bouvier,,,,D,Brune,A,Daver,E,Fontaine,O,Haillot,J L,Lagrange,V,Molinie,FNCLCC,AFU,,,,,,,,,,,J P,Muratet,P,Pabot du Chatelard,M,Peneau,D,Prapotnich,V,Ravery,P,Richaud,D,Rossi,M,Soulie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"summary of the standards, options and recommendations for the management of patients with carcinoma of unknown primary site (2002)",https://pubmed.ncbi.nlm.nih.gov/12915904/,XX,08,2003,British journal of cancer,89 Suppl 1,,0007-0920,R,Bugat,"Institut Claudius Regaud, Toulouse, France.",A,Bataillard,T,Lesimple,J J,Voigt,S,Culine,A,Lortholary,Y,Merrouche,G,Ganem,,,,M C,Kaminsky,S,Negrier,M,Perol,C,Laforêt,P,Bedossa,G,Bertrand,FNCLCC,,,,,,,,,,,,J M,Coindre,K,Fizazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"summary report of the standards, options and recommendations for the management of patients with non-small-cell lung carcinoma (2000)",https://pubmed.ncbi.nlm.nih.gov/12915902/,XX,08,2003,British journal of cancer,89 Suppl 1,,0007-0920,A,Depierre,"Hôpital Jean Minjoz, Besançon, France.",J L,Lagrange,S,Theobald,P,Astoul,P,Baldeyrou,E,Bardet,B,Bazelly,J M,Bréchot,,,,J L,Breton,J Y,Douillard,M,Grivaux,P,Jacoulet,A,Khalil,E,Lemarié,FNCLCC,,,,,,,,,,,,Y,Martinet,G,Massard,B,Milleron,T,Molina,D,Moro-Sibilot,M,Paesmans,J L,Pujol,E,Quoix,,,,E,Ranfaing,A,Rivière,H,Sancho-Garnier,P J,Souquet,D,Spaeth,A,Stoebner-Delbarre,L,Thiberville,E,Touboul,F,Vaylet,J M,Vergnon,V,Westeel,,,,,,
technological changes in the management of prostate cancer result in increased healthcare costs--a retrospective study in a defined swedish population,https://pubmed.ncbi.nlm.nih.gov/12775282/,XX,XX,2003,Scandinavian journal of urology and nephrology,37,3,0036-5599,Karin,Sennfält,"Center for Medical Technology Assessment, Linköping University Hospital, Sweden. karin.sennfalt@ihs.liu.se",Per,Carlsson,Johan,Thorfinn,Jessica,Frisk,Martin,Henriksson,Eberhard,Varenhorst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis and management of central nervous system metastases from breast cancer,https://pubmed.ncbi.nlm.nih.gov/14530493/,XX,XX,2003,The oncologist,8,5,1083-7159,Eric L,Chang,"Division of Radiation Oncology, The University of Texas M.D. Anderson Cancer Center, Houston, Texas 77030, USA. echang@mdanderson.org",Simon,Lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analysis of complications of radiofrequency pallidotomy,https://pubmed.ncbi.nlm.nih.gov/12493105/,XX,01,2003,Neurosurgery,52,1,0148-396X,Zhang,Hua,"Department of Neurosurgery, Tangdu Hospital, The Fourth Military Medical University, Xi'an, People's Republic of China. zhanghua@fmmu.edu.cn",Gao,Guodong,Liang,Qinchuan,Zhao,Yaqun,Wang,Qinfen,Wang,Xuelian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a method of computerized evaluation of ct based treatment plants in external radiotherapy,https://pubmed.ncbi.nlm.nih.gov/14732952/,XX,XX,2003,Zeitschrift fur medizinische Physik,13,4,0939-3889,Jens,Heufelder,"Hahn-Meitner-Institut Berlin, Augentumortherapie. heufelder@hmi.de",Klemens,Zink,Martin,Scholz,Klaus-Dieter,Kramer,Klaus,Welker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a prospective evaluation of transbronchial ultrasonography for assessment of depth of invasion in early bronchogenic squamous cell carcinoma,https://pubmed.ncbi.nlm.nih.gov/14512186/,XX,10,2003,"Lung cancer (Amsterdam, Netherlands)",42,1,0169-5002,Hiroto,Takahashi,"Department of Thoracic Surgery, Institute of Development, Aging and Cancer, Tohoku University, 4-1 Seiryo-machi, Aoba-ku, Sendai 980-8575, Japan. hirotot@ohta-hp.or.jp",Motoyasu,Sagawa,Masami,Sato,Akira,Sakurada,Chiaki,Endo,Itaru,Ishida,Takeshi,Oyaizu,Yoshihiro,Nakamura,,,,Takashi,Kondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
do older men benefit from curative therapy of localized prostate cancer?,https://pubmed.ncbi.nlm.nih.gov/12947068/,01,09,2003,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,21,17,0732-183X,Shabbir M H,Alibhai,"University Health Network, Room ENG-233, 200 Elizabeth St, Toronto, Ontario, Canada M5G 2C4. shabbir.alibhai@uhn.on.ca.",Gary,Naglie,Robert,Nam,John,Trachtenberg,Murray D,Krahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"summary version of the standards, options and recommendations for nonmetastatic breast cancer (updated january 2001)",https://pubmed.ncbi.nlm.nih.gov/12915900/,XX,08,2003,British journal of cancer,89 Suppl 1,,0007-0920,L,Mauriac,"Institut Bergonié, Bordeaux, France.",E,Luporsi,B,Cutuli,A,Fourquet,J R,Garbay,S,Giard,F,Spyratos,B,Sigal-Zafrani,,,,J M,Dilhuydy,V,Acharian,C,Balu-Maestro,M P,Blanc-Vincent,C,Cohen-Solal,B,De Lafontan,FNCLCC,,,,,,,,,,,,M H,Dilhuydy,B,Duquesne,R,Gilles,A,Lesur,N,Shen,L,Cany,I,Dagousset,M H,Gaspard,,,,H,Hoarau,A,Hubert,M H,Monira,N,Perrié,G,Romieu,,,,,,,,,,,,,,,,,,
decision tree and paradigms of primary breast cancer: changes elicited by preoperative therapy,https://pubmed.ncbi.nlm.nih.gov/12761467/,XX,05,2003,Medical science monitor : international medical journal of experimental and clinical research,9,5,1234-1010,Masakazu,Toi,"Breast Oncology Unit, Tokyo Metropolitan Komagome Hospital, Tokyo Metropolitan Medical Center for Cancer and Infectious Diseases, 3-18-22 Honkomagome, Bunkyo-ku, 113-8677 Tokyo, Japan. maktoi77@wa2.so-net.ne.jp",Hiroko,Bando,Shigehira,Saji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
